ID,Risk category,Risk,Policy idea,Policy idea description,Jurisdiction,Title,Author,Link,Year
234,Biology,Pandemics,"UNSG to ensure that a formal, clear, and regularly exercised process for investigation and attribution of an alleged use of biological weapons is robust and sustained","The UN Secretary-General should ensure that a formal, clear, and regularly exercised process for investigation and attribution of an alleged use of biological weapons is robust and sustained. The aim of such a process is to help deter future use of biological weapons and to stop disease spread following an attack. This should include processes geared toward alleged state or non-state use of biological weapons and must include a more robust and rapidly deployable investigative team through the UN Secretary-General’s Mechanism for Investigation of Alleged Use of Chemical and Biological Weapons (UNSGM).",International,A Spreading Plague: Lessons and Recommendations for Responding to a Deliberate Biological Event,Michelle Nalabandian,https://media.nti.org/documents/NTI_Paper_A_Spreading_Plague_FINAL_061119.pdf,2019
235,Biology,Pandemics,Identify and rapidly increase financing for national pandemic preparedness across the public health and agricultural sectors,"UN Member States should urgently identify and rapidly increase financing for national pandemic preparedness across the public health and agricultural sectors, including for capabilities outlined within the WHO JEE. As part of this process, countries should establish benchmarks and prioritize financing for biosecurity and other security sector-related targets. This should be a multi-sectoral process that includes the private sector.",International,A Spreading Plague: Lessons and Recommendations for Responding to a Deliberate Biological Event,Michelle Nalabandian,https://media.nti.org/documents/NTI_Paper_A_Spreading_Plague_FINAL_061119.pdf,2019
258,Technology,Artificial intelligence,Broaden the provision to add new high-risk systems,"Currently, the regulation only allows the addition of new high-risk AI systems if they both fall under any of the eight listed areas and are deemed to pose at least as great a risk (to health and safety or adverse impact on fundamental rights) as systems already in Annex III. We recommend broadening the provision to add new high-risk systems and risk areas. ",Regional,Submission of Feedback to the European Commission’s Proposal for a Regulation laying down harmonised rules on artificial intelligence,Whittlestone et. al.,https://www.cser.ac.uk/resources/feedback-european-regulation/,2021
259,Technology,Artificial intelligence,Ensure the classification stays relevant as uses of AI develop,"How ‘high risk’ AI systems are identified and classified for the purpose of regulation may also need to adapt over time. We highlight two things it may be particularly important for the Commission to consider in this regard:
• The emergence of increasingly general-purpose systems, which are then adapted and deployed for specific domains by secondary developers or users.
• The possibility that companies may underemphasise the role AI plays in their decisionmaking in order to avoid regulation.",Regional,Submission of Feedback to the European Commission’s Proposal for a Regulation laying down harmonised rules on artificial intelligence,Whittlestone et. al.,https://www.cser.ac.uk/resources/feedback-european-regulation/,2021
260,Technology,Artificial intelligence,Implement mechanisms to enable adaptability in practice,"Establish concrete mechanisms to enable adaptability in practice. Even where provisions for adaptability exist in principle, historical experience suggests that updating regulations frequently or quickly enough can be challenging. Specifically, we suggest that:
• The European Artificial Intelligence Board be authorised to propose changes to the regulation’s Annexes, including the list of restricted and high-risk systems. It should also be involved in the formation of common specifications and harmonised standards.
• The European Commission schedule specific timeframes on which to consider revisions to the Annexes and any other parts of the regulation.",Regional,Submission of Feedback to the European Commission’s Proposal for a Regulation laying down harmonised rules on artificial intelligence,Whittlestone et. al.,https://www.cser.ac.uk/resources/feedback-european-regulation/,2021
261,Technology,Artificial intelligence,Expand requirements to include evaluation of broader societal harms,"Expand the current requirements to include evaluation of broader societal harms, beyond risks to health and safety or fundamental right. Specifically, we suggest adding a step to the risk management system (Article 9) requiring evaluation of broader societal harms from AI systems. We also suggest including possible societal impact in the requirements for technical documentation (Annex IV)",Regional,Submission of Feedback to the European Commission’s Proposal for a Regulation laying down harmonised rules on artificial intelligence,Whittlestone et. al.,https://www.cser.ac.uk/resources/feedback-european-regulation/,2021
266,Technology,Artificial intelligence,Increase channels for filing complaints to the Commission and notifying authorities,An important way to monitor for and identify new sources of harm from AI  systems is to allow more channels for filing complaints and raising concerns. One key channel would be allowing users to flag concerns directly. ,Regional,Submission of Feedback to the European Commission’s Proposal for a Regulation laying down harmonised rules on artificial intelligence,Whittlestone et. al.,https://www.cser.ac.uk/resources/feedback-european-regulation/,2021
268,Technology,Artificial intelligence,Maintaining an ‘AI safety incidents’ database at a European level,"This would enable faster learning and feedback across the industry. It would  also clarify scope and orientation and the potential need for regulatory revisions or updates. This could easily be done by establishing an anonymised database, based on the serious incidents reported under Article 62.",Regional,Submission of Feedback to the European Commission’s Proposal for a Regulation laying down harmonised rules on artificial intelligence,Whittlestone et. al.,https://www.cser.ac.uk/resources/feedback-european-regulation/,2021
269,Technology,Artificial intelligence,Fund more work (within government and academia) on AI monitoring and assessment,Successful implementation of the regulation will depend on innovation in both methods to monitor the evolving AI risk landscape and methods for assessing the impacts of AI systems. EU institutions and Member States should explore ways to directly fund this work in order to ensure it is as aligned with the goals of the regulation as possible.,Regional,Submission of Feedback to the European Commission’s Proposal for a Regulation laying down harmonised rules on artificial intelligence,Whittlestone et. al.,https://www.cser.ac.uk/resources/feedback-european-regulation/,2021
272,Technology,Artificial intelligence,Introduce an intermediate prize,"Given the difficult challenge that AGI poses, in any case, only the most competitive teams will compete: at present, in the world, there may, perhaps, be only half a dozen or so teams that could seriously compete for an AGI. Keeping this competitive, and even raising the bar and incentivizing such teams to invest more in finding a dominant AGI, the public sector could introduce second prizes, that is prizes for intermediate results (i.e., advanced, but not dominating AIs). ",All,The race for an artificial general intelligence: implications for public policy,"Dimitri N., Naudé W.",https://link.springer.com/article/10.1007/s00146-019-00887-x,2019
273,Technology,Artificial intelligence,Establish the public procurement of innovation in artificial intelligence,"Public procurement of innovation could attempt to steer AGI in a friendly direction by requiring that certain constraints be engineered into the AI, and by assisting the development of complementary technologies. A second role for public procurement of innovation, in addition to helping with the engineering of constraints into AI, is to help generate complementary innovations.",All,The race for an artificial general intelligence: implications for public policy,"Dimitri N., Naudé W.",https://link.springer.com/article/10.1007/s00146-019-00887-x,2019
274,Technology,Artificial intelligence,Tax AGI,"For a large enough tax rate, teams could be completely discouraged to pursue investing in finding such AGI dominant application",All,The race for an artificial general intelligence: implications for public policy,"Dimitri N., Naudé W.",https://link.springer.com/article/10.1007/s00146-019-00887-x,2019
279,General,General,Develop a risk management process for government agencies to manage policy and implementation risks in their portfolio,Develop and implement an agency-level risk management process that covers risks to policy and programmatic delivery within the portfolio,National,How governments can better understand extreme risks,"Sepasspour, R",https://www.gcrpolicy.com/understand,2021
280,General,General,Develop a risk management process for government agencies to manage policy and implementation risks in their portfolio,"Develop a whole-of-government risk management framework, underpinned by an agreed set of national ‘values’ (categorised under human capital, social capital, economic capital and natural capital), shared understanding of the assets that protect these capitals (that is, the systems, policies, processes, organisations and infrastructures), and analysis of the vulnerabilities to these assets",National,How governments can better understand extreme risks,"Sepasspour, R",https://www.gcrpolicy.com/understand,2021
281,General,General,"Develop a centralised all-hazard national risk assessment process that includes environmental, economic, security, technology, infrastructure and health risks","Develop and implement a regular all-hazard risk assessment process for all risks to the homeland originating domestically or internationally, including a structured way to identify and enumerate risk impacts and likelihoods along with qualitative information and expert scrutiny",National,How governments can better understand extreme risks,"Sepasspour, R",https://www.gcrpolicy.com/understand,2021
282,General,General,"Develop a centralised all-hazard national risk assessment process that includes environmental, economic, security, technology, infrastructure and health risks","Develop a process (possibly separate to the national risk assessment) that identifies and assesses emerging, chronic and global catastrophic risks",National,How governments can better understand extreme risks,"Sepasspour, R",https://www.gcrpolicy.com/understand,2021
283,General,General,Develop a risk prioritisation framework,"Develop a prioritisation framework that considers likelihood and impact of risk, and areas of vulnerability",National,How governments can better understand extreme risks,"Sepasspour, R",https://www.gcrpolicy.com/understand,2021
284,General,General,Develop a risk prioritisation framework,"Develop a prioritisation framework for risk assessment that considers risk appetite, likelihood and impact of risk, areas of vulnerability, effect of existing mitigation efforts, neglect and urgency for remediation, and level of uncertainty, with a view to develop whole-of-government action plan for those identified as high priority risks",National,How governments can better understand extreme risks,"Sepasspour, R",https://www.gcrpolicy.com/understand,2021
285,General,General,Understand the country’s contribution to the manifestation of extreme risks,"Map existing government programs against how they relate to national risks (as identified in national risk assessment)

",National,How governments can better understand extreme risks,"Sepasspour, R",https://www.gcrpolicy.com/understand,2021
286,General,General,Understand the country’s contribution to the manifestation of extreme risks,"Conduct a review of actions of all stakeholders (government, business sectors, citizens) that contribute to manifestation of national and global catastrophic risks",National,How governments can better understand extreme risks,"Sepasspour, R",https://www.gcrpolicy.com/understand,2021
287,General,General,Understand the financial implications of extreme risks,"Source an external provider or consultant to calculate long-term economic and budget damage from extreme risks, with a view to including second order financial impacts (such as loss of tourism, increase in insurance costs, loss of tax revenue) and to breaking down the data to local level

",National,How governments can better understand extreme risks,"Sepasspour, R",https://www.gcrpolicy.com/understand,2021
288,General,General,Understand the financial implications of extreme risks,Develop (or apply existing) financial methodology to calculate economic damage and budget allocation of catastrophic risk scenarios and incorporate negative externalities and long-dated discount rate into budget processes,National,How governments can better understand extreme risks,"Sepasspour, R",https://www.gcrpolicy.com/understand,2021
289,General,General,Understand the non-financial implications of extreme risks,"Conduct study of impacts of extreme risks across human, social and natural capital (such as health, migration and physical, food, water and energy security)

",National,How governments can better understand extreme risks,"Sepasspour, R",https://www.gcrpolicy.com/understand,2021
290,General,General,Understand the non-financial implications of extreme risks,"Develop and track national indices that calculate or represent the impact of national and global risks on human, social, economic and natural capital",National,How governments can better understand extreme risks,"Sepasspour, R",https://www.gcrpolicy.com/understand,2021
291,General,General,Improve risk data collection and analysis through a centralised system,Create a centralised system for data collection across each of the risks (with a view to have real time data input for the risks’ likelihood and impact) and each of the areas of resilience and vulnerability,National,How governments can better understand extreme risks,"Sepasspour, R",https://www.gcrpolicy.com/understand,2021
292,General,General,Improve risk data collection and analysis through a centralised system,"Develop a model which enables sensitivity analysis of key risks, whereby changes in inputs demonstrate changes in risk profiles, particularly on trends and issues that impact multiple risks",National,How governments can better understand extreme risks,"Sepasspour, R",https://www.gcrpolicy.com/understand,2021
293,General,General,Increase and improve futures analysis through central unit or agency that leads foresight and horizon-scanning activities," Create a central futures analysis centre that provides support, training and frameworks to other departmental foresight units, leads whole-of-government foresight activities for major policy questions and initiatives, determines the work program in line with the wider agenda, and maintains a database of horizon‑scanning products to prevent duplication of effort and to encourage knowledge sharing",National,How governments can better understand extreme risks,"Sepasspour, R",https://www.gcrpolicy.com/understand,2021
294,General,General,Increase and improve futures analysis through central unit or agency that leads foresight and horizon-scanning activities,"Create a futures analysis agency reporting to the head of government, which, in addition to the activities of the central futures analysis centre, conducts all-source assessment and policy analysis for catastrophic risks, has second reporting lines to futures analysis teams across government, and coordinates with stakeholders inside and outside government",National,How governments can better understand extreme risks,"Sepasspour, R",https://www.gcrpolicy.com/understand,2021
295,General,General,Increase intelligence analysis capability and priority towards extreme foreign risks,Create a team in the central intelligence analysis agency that conducts alternative analysis and red team thinking with an aim to focus on low-likelihood-high-impact scenarios and increase open-source and analytical capability,National,How governments can better understand extreme risks,"Sepasspour, R",https://www.gcrpolicy.com/understand,2021
296,General,General,Increase intelligence analysis capability and priority towards extreme foreign risks,"Create a team or division in the central intelligence assessment agency dedicated to catastrophic risk analysis, with a view to develop comprehensive pre-mortem review of key risks, provide a set of indicators, warnings and policy recommendations, and collaborate with partners for forecasting long-term technological trends and disasters",National,How governments can better understand extreme risks,"Sepasspour, R",https://www.gcrpolicy.com/understand,2021
297,General,General,Inject futures analysis into government policy‑making processes,"Develop a future analysis toolkit for policy officers and train them on the techniques, similar to the UK’s Futures Toolkit; and create small team to broker between foresight producers and policymakers

",National,How governments can better understand extreme risks,"Sepasspour, R",https://www.gcrpolicy.com/understand,2021
298,General,General,Inject futures analysis into government policy‑making processes,"Incorporate a mandatory futures analysis process during major policy decisions; and create senior horizon­-scanning oversight group, which commissions new work, ensures relevant judgements and implications are drawn from horizon‑scanning activity, and reports highest priority implications to agency heads",National,How governments can better understand extreme risks,"Sepasspour, R",https://www.gcrpolicy.com/understand,2021
299,General,General,Facilitate network of futures analysis practitioners,"Create a committee for head of foresight and horizon‑scanning teams

",National,How governments can better understand extreme risks,"Sepasspour, R",https://www.gcrpolicy.com/understand,2021
300,General,General,Facilitate network of futures analysis practitioners,"Create a virtual foresight system for existing foresight practitioners to share and collaborate and for policy officials to search, review and comment on foresight analysis",National,How governments can better understand extreme risks,"Sepasspour, R",https://www.gcrpolicy.com/understand,2021
301,General,General,"Improve linkages between intelligence, futures analysis and policy","Develop a formal process to include policy questions into intelligence and futures analysis requirements, including from policy areas outside national security and foreign policy",National,How governments can better understand extreme risks,"Sepasspour, R",https://www.gcrpolicy.com/understand,2021
302,General,General,"Improve linkages between intelligence, futures analysis and policy","Policy, risk assessment, futures analysis and intelligence communities to agree on the most important ‘futures’ questions or issues, with a final prioritised list presented to Cabinet-level for approval, with a view to develop policy, research and intelligence questions underpinning each priority, and resource allocation in accordance with priority level",National,How governments can better understand extreme risks,"Sepasspour, R",https://www.gcrpolicy.com/understand,2021
303,General,General,"Broaden engagement with parliamentarians, academia, private sector and civil society on futures analysis",Incorporate representatives from national scientific academies and other academic institutions into futures analysis process,National,How governments can better understand extreme risks,"Sepasspour, R",https://www.gcrpolicy.com/understand,2021
304,General,General,"Broaden engagement with parliamentarians, academia, private sector and civil society on futures analysis",Incorporate representatives from national scientific academies and other academic institutions into futures analysis process,National,How governments can better understand extreme risks,"Sepasspour, R",https://www.gcrpolicy.com/understand,2021
305,General,General,Develop in-house science and research on extreme risk,Conduct a review of current allocation of resources and research efforts to extreme risk research across civilian and defence science agency and office,National,How governments can better understand extreme risks,"Sepasspour, R",https://www.gcrpolicy.com/understand,2021
306,General,General,Develop in-house science and research on extreme risk,"Develop a cross-government team from civilian and defence research and science agencies to study domestic and international security and economic effects of catastrophic risk, capitalise on and consolidate existing knowledge, and develop and apply methodologies and models to assess risks, vulnerabilities and exposure to all hazards",National,How governments can better understand extreme risks,"Sepasspour, R",https://www.gcrpolicy.com/understand,2021
307,General,General,Improve linkages between science and policy,"Form an external advisory group to government on extreme risk that includes key sectors such as health and education, academia, civil society, defence, food, energy, infrastructure, banking and insurance",National,How governments can better understand extreme risks,"Sepasspour, R",https://www.gcrpolicy.com/understand,2021
308,General,General,Improve linkages between science and policy,Establish a statutory body that provides independent analysis on policies relating to catastrophic risk,National,How governments can better understand extreme risks,"Sepasspour, R",https://www.gcrpolicy.com/understand,2021
309,General,General,Support academic research on extreme risk,Develop a shared list of policy and research questions between the policy and academic communities on key emerging and extreme risks,National,How governments can better understand extreme risks,"Sepasspour, R",https://www.gcrpolicy.com/understand,2021
310,General,General,Support academic research on extreme risk,Provide funding to external advisory group or centres and institutes that study the science of catastrophic risk to conduct policy-driven research,National,How governments can better understand extreme risks,"Sepasspour, R",https://www.gcrpolicy.com/understand,2021
311,General,General,Increase resources in government for science and technology expertise,Create a central funding pool that departments can access to study extreme risks (and efforts to manage these risks) in their portfolio,National,How governments can better understand extreme risks,"Sepasspour, R",https://www.gcrpolicy.com/understand,2021
312,General,General,Increase resources in government for science and technology expertise,Appoint in each department a chief science advisor and office with ownership over studying and understanding catastrophic risks in their portfolio,National,How governments can better understand extreme risks,"Sepasspour, R",https://www.gcrpolicy.com/understand,2021
